RNA1 chromosome	Start of RNA1 first read	Start of RNA1 last read	RNA1 strand	RNA2 chromosome	Start of RNA2 last read	Start of RNA2 first read	RNA2 strand	interactions	other interactions of RNA1	other interactions of RNA2	total other interactions	odds ratio	Fisher's exact test p-value
NC_000913.3	554572	554787	+	NC_000913.3	507257	507288	+	31	29	826214	4226314	5.468055408204754	0.005820348454950379
NC_000913.3	576104	576494	-	NC_000913.3	3986462	3986640	+	72	1417	50762	5000337	5.005220287559999	1.594650102214186e-19
NC_000913.3	668720	669082	-	NC_000913.3	1622817	1622852	-	50	280	193188	4859070	4.4914335850496485	3.0567317554108467e-09
NC_000913.3	764203	764294	+	NC_000913.3	4056426	4056659	-	34	884	20989	5030681	9.21853021912577	5.4798987509516894e-14
NC_000913.3	774405	774494	+	NC_000913.3	2976102	2976307	-	29	661	31087	5020811	7.085844192962535	3.5640895171989435e-08
NC_000913.3	888025	888058	-	NC_000913.3	4180803	4180955	+	29	4611	7806	5040142	4.060851433424055	0.013083908663665489
NC_000913.3	940844	941022	+	NC_000913.3	576717	576819	-	37	5160	1048	5046343	34.527688583644	1.251551460109271e-35
NC_000913.3	952103	952167	-	NC_000913.3	2942901	2942902	+	19	332	42797	5009440	6.698712977010268	0.006055657959559585
NC_000913.3	1051625	1051828	+	NC_000913.3	1405657	1405702	-	42	474	86096	4965976	5.110843591728044	3.7054326836614836e-09
NC_000913.3	1066905	1067043	-	NC_000913.3	2313164	2313177	+	25	136	19174	5033253	48.25442426631652	4.449139079806986e-25
NC_000913.3	1123130	1123598	-	NC_000913.3	2001912	2002023	-	35	135	49576	5002842	26.162520395173292	6.646492045200482e-28
NC_000913.3	1140986	1140993	+	NC_000913.3	7837	7876	-	19	20356	201	5032012	23.367205043753525	3.1046851380922934e-12
NC_000913.3	1150373	1150800	+	NC_000913.3	1151715	1151912	+	51	12660	2387	5037490	8.50155264396206	2.5822024061324744e-22
NC_000913.3	1196039	1196368	+	NC_000913.3	1194984	1195274	+	73	875	2592	5049048	162.51344973544974	5.8393500196329804e-123
NC_000913.3	1225006	1225092	-	NC_000913.3	4106368	4106387	+	19	104	56732	4995733	16.087604709592743	4.1104682678586835e-09
NC_000913.3	1275040	1275189	-	NC_000913.3	4049925	4050008	+	33	81	27461	5025013	74.55036300639155	1.092950695855222e-39
NC_000913.3	1300711	1300799	+	NC_000913.3	1622818	1622865	-	19	66	193219	4859284	7.239892494417153	0.007776566129226832
NC_000913.3	1335427	1335569	+	NC_000913.3	1141056	1141064	+	36	216	147780	4904556	5.5313709568277165	1.1751844814869119e-07
NC_000913.3	1408510	1408590	+	NC_000913.3	2167175	2167201	+	20	23	459989	4592556	8.681787948237325	0.0026147071292016186
NC_000913.3	1409128	1409210	+	NC_000913.3	3176726	3176884	-	38	43668	899	5007983	4.847562857491908	2.724538794034112e-07
NC_000913.3	1523224	1523370	+	NC_000913.3	3580923	3580977	-	20	263	1531	5050774	250.87477306762895	1.8078616154149996e-33
NC_000913.3	1554926	1554989	-	NC_000913.3	1409177	1409249	+	20	71	114033	4938464	12.199246005264351	2.742118073061777e-07
NC_000913.3	1622855	1622900	-	NC_000913.3	1975805	1975952	-	32	14676	1626	5036254	6.7535070771803385	3.7445589381191195e-09
NC_000913.3	1636740	1637039	+	NC_000913.3	2942748	2942900	+	26	10	398299	4654253	30.381843288584708	4.240846619532941e-14
NC_000913.3	1671916	1672381	+	NC_000913.3	1409206	1409249	+	31	344	103307	4948906	4.317006535724071	0.0017009727674222029
NC_000913.3	1712709	1713199	+	NC_000913.3	1713902	1714324	+	137	571	667	5051213	1816.9974058504897	0.0
NC_000913.3	1757405	1757498	+	NC_000913.3	543191	543212	-	30	15610	1613	5035335	5.999462645950404	2.0928116223256246e-07
NC_000913.3	1769924	1770115	+	NC_000913.3	2167167	2167200	+	30	62	456335	4596161	4.873500544485394	0.004399102639153419
NC_000913.3	1840652	1840970	-	NC_000913.3	1622818	1622835	-	36	39	193202	4859311	23.216725738625097	1.2434488996246511e-23
NC_000913.3	2002909	2003396	-	NC_000913.3	1278001	1278500	+	121	39989	4379	5008099	3.4605313389704664	3.1039302973975758e-22
NC_000913.3	2065258	2065396	-	NC_000913.3	2167153	2167200	+	34	32	456331	4596191	10.70155860000745	2.0808985012943343e-11
NC_000913.3	2108315	2108494	-	NC_000913.3	324602	324635	-	26	3268	6951	5042343	5.771336494823794	6.466436380921168e-05
NC_000913.3	2167113	2167150	+	NC_000913.3	4426401	4426476	+	19	45638	167	5006764	12.48152487697378	2.578252960398394e-07
NC_000913.3	2167113	2167171	+	NC_000913.3	2107815	2108300	-	49	45608	1087	5005844	4.947693855094419	2.3473683768955842e-11
NC_000913.3	2252526	2252633	+	NC_000913.3	2167194	2167201	+	30	12	459979	4592567	24.960742773039637	3.8995094582868515e-15
NC_000913.3	2265428	2265590	+	NC_000913.3	2167155	2167201	+	34	62	459975	4592517	5.475247708062676	2.5508858174332717e-05
NC_000913.3	2352603	2353099	+	NC_000913.3	2353806	2354286	+	209	3392	2306	5046681	134.8456662735849	0.0
NC_000913.3	2356704	2356791	+	NC_000913.3	1405656	1405697	-	19	72	83420	4969077	15.71906267481819	1.4260548054117356e-08
NC_000913.3	2356709	2356796	+	NC_000913.3	1409231	1409249	+	19	72	103319	4949178	12.640783237674903	6.317697722723225e-07
NC_000913.3	2409435	2409666	-	NC_000913.3	2167156	2167201	+	42	72	459967	4592507	5.824249167150397	1.2692178890483647e-08
NC_000913.3	2417151	2417286	+	NC_000913.3	2167163	2167200	+	30	65	456335	4596158	4.648566715916361	0.010618024905376004
NC_000913.3	2443836	2443973	-	NC_000913.3	2167149	2167200	+	24	40	456341	4596183	6.043090145308004	0.01042907670482744
NC_000913.3	2470106	2470192	+	NC_000913.3	1141049	1141063	+	19	55	147797	4904717	11.464081015299241	5.846845198634822e-06
NC_000913.3	2619616	2619674	-	NC_000913.3	2167170	2167200	+	19	16	456346	4596207	11.960213987851324	0.00024937781599558074
NC_000913.3	2644608	2644928	-	NC_000913.3	2942722	2942900	+	77	222	398248	4654041	4.053352297929798	1.9824456886811675e-13
NC_000913.3	2726256	2726273	-	NC_000913.3	4168572	4168595	+	19	2651	9	5049909	4021.470765748774	6.26485720281423e-49
NC_000913.3	2726258	2726270	-	NC_000913.3	3943602	3943697	+	19	2651	72	5049846	502.6775745001886	1.5954162704075785e-36
NC_000913.3	2810705	2810766	+	NC_000913.3	1140995	1141064	+	20	104	150365	4902099	6.2694865570701035	0.016179095272714664
NC_000913.3	2814801	2814818	+	NC_000913.3	2534791	2534886	+	23	13986	68	5038511	121.85058272558273	4.7293429536364805e-31
NC_000913.3	2814801	2814837	+	NC_000913.3	3532806	3532997	+	26	13983	386	5038193	24.2694808166393	2.1900002091250697e-19
NC_000913.3	2821131	2821180	-	NC_000913.3	2167165	2167201	+	20	25	459989	4592554	7.987241434034292	0.009005879218949776
NC_000913.3	2942696	2942798	+	NC_000913.3	2019809	2020000	+	42	142252	487	4909807	2.9766403792419514	0.03577216793896782
NC_000913.3	2942695	2942859	+	NC_000913.3	2737608	2738087	+	92	223527	157	4828812	12.658973271557072	2.2383844651376576e-51
NC_000913.3	2942695	2942859	+	NC_000913.3	3034915	3035194	-	65	223554	360	4828609	3.899872874363937	9.40034922523807e-11
NC_000913.3	2942717	2942797	+	NC_000913.3	1638976	1638981	+	19	76723	201	4975645	6.130294722443723	0.032251276006112495
NC_000913.3	2942826	2942849	+	NC_000913.3	2766101	2766184	+	19	81306	91	4971172	12.765810776437299	3.5826845650593024e-07
NC_000913.3	2985604	2985624	-	NC_000913.3	1409242	1409249	+	19	40	103319	4949210	22.753556944995598	9.094851192753966e-11
NC_000913.3	3049516	3049916	-	NC_000913.3	657413	657549	+	40	12651	3673	5036224	4.335300896506977	1.3128097659965774e-06
NC_000913.3	3082635	3082770	-	NC_000913.3	3350689	3350697	+	28	18	291988	4760554	25.36168000815863	3.841502506319022e-16
NC_000913.3	3221533	3221592	+	NC_000913.3	1405657	1405695	-	19	118	83420	4969031	9.591203690534725	3.349866563316835e-05
NC_000913.3	3239862	3240120	+	NC_000913.3	3240908	3241306	+	50	72390	46	4980102	74.77765365141714	3.602746039429936e-58
NC_000913.3	3350612	3350652	+	NC_000913.3	2233529	2233634	+	24	72654	74	4979836	22.229773253309467	1.794545818730961e-15
NC_000913.3	3350640	3350652	+	NC_000913.3	2979226	2979344	+	24	72654	21	4979889	78.33432039923079	3.0776391593402875e-25
NC_000913.3	3350641	3350657	+	NC_000913.3	3782624	3782945	-	41	72637	548	4979362	5.128839397266821	6.238139181772945e-09
NC_000913.3	3350641	3350652	+	NC_000913.3	3563731	3563876	+	26	72652	320	4979590	5.5688995141221165	0.0002597371063364418
NC_000913.3	3350641	3350645	+	NC_000913.3	3060205	3060466	+	27	72651	66	4979844	28.041030530769145	2.5225664128137626e-20
NC_000913.3	3397349	3397587	-	NC_000913.3	3350663	3350697	+	41	160	291975	4760412	4.177945286411508	2.9330065732310923e-05
NC_000913.3	3400462	3400681	-	NC_000913.3	2167175	2167200	+	33	75	456332	4596148	4.431653094676682	0.004007849084881391
NC_000913.3	3439818	3440290	-	NC_000913.3	3441501	3441876	-	90	2363	1334	5048801	144.14885976393944	6.974258536167279e-149
NC_000913.3	3444208	3444698	-	NC_000913.3	3442431	3442900	-	154	3409	2020	5047005	112.869365889361	6.092266845025944e-241
NC_000913.3	3450302	3450794	-	NC_000913.3	3452001	3452499	-	202	6779	4512	5041095	33.29212575287261	2.1942353832868373e-214
NC_000913.3	3453301	3453441	-	NC_000913.3	3451608	3452092	-	47	9487	4243	5038811	5.8833406399732135	1.0587326064835778e-14
NC_000913.3	3717645	3717698	+	NC_000913.3	2167173	2167200	+	19	21	456346	4596202	9.112534077630738	0.005160222763252331
NC_000913.3	3741602	3742060	-	NC_000913.3	1405657	1405722	-	22	106	86116	4966344	11.969327900848088	1.1669164562882966e-08
NC_000913.3	3782626	3782792	-	NC_000913.3	461409	461785	+	34	2171	14115	5036268	5.587879648207876	9.491700756979294e-08
NC_000913.3	3866496	3866550	-	NC_000913.3	1405657	1405692	-	24	136	83415	4969013	10.512313697282545	7.130376693774415e-09
NC_000913.3	3888485	3888838	+	NC_000913.3	3923638	3923738	+	51	79534	122	4972881	26.13759276886223	7.326565117688643e-42
NC_000913.3	3889617	3890054	+	NC_000913.3	3888433	3888500	+	63	15499	1036	5035990	19.758864128984783	4.0387693072211386e-50
NC_000913.3	3890038	3890399	+	NC_000913.3	4049923	4050007	+	104	9427	27390	5015667	2.0202099002294798	0.0009874946855623194
NC_000913.3	3891420	3891806	+	NC_000913.3	3890412	3890496	+	29	4422	1949	5046188	16.979732616362192	9.454870401299962e-19
NC_000913.3	3914714	3914988	-	NC_000913.3	765025	765150	+	35	335	55800	4996418	9.355086395977104	2.2286241089326526e-14
NC_000913.3	3937044	3937261	+	NC_000913.3	887976	888114	-	34	3164	7979	5041411	6.7896295886689915	3.493319947745878e-10
NC_000913.3	3987120	3987326	-	NC_000913.3	1622818	1622868	-	29	88	193209	4859262	8.288163100815462	1.2351998694511208e-08
NC_000913.3	4026801	4027180	+	NC_000913.3	2001911	2002355	-	41	1021	60506	4991020	3.3124473324263453	0.0030244264026227847
NC_000913.3	4027030	4027184	+	NC_000913.3	1405658	1405711	-	31	388	86107	4966062	4.607906382121788	0.0003271381021798533
NC_000913.3	4049898	4049945	+	NC_000913.3	3372617	3372689	-	22	9336	33	5043197	360.12546415309913	1.6496060527004578e-38
NC_000913.3	4049898	4049945	+	NC_000913.3	4118002	4118132	-	28	9330	862	5042368	17.55511423121781	9.389085058641604e-18
NC_000913.3	4106329	4106347	+	NC_000913.3	2174138	2174400	-	31	10307	1553	5040697	9.762219188367222	4.857261291907787e-13
NC_000913.3	4107411	4107462	+	NC_000913.3	4114520	4114528	-	19	73	6321	5046175	207.7816822810679	2.712477187010264e-29
NC_000913.3	4111519	4111574	-	NC_000913.3	1622818	1622868	-	19	61	193219	4859289	7.8333343656000975	0.0025462426447649643
NC_000913.3	4116617	4116799	-	NC_000913.3	1958441	1958605	-	23	1994	7548	5043023	7.706580858101597	3.7945961845150636e-06
NC_000913.3	4133807	4133890	+	NC_000913.3	765131	765149	+	19	260	48646	5003663	7.516595324463392	0.0010332996161029186
NC_000913.3	4153116	4153188	-	NC_000913.3	2313128	2313177	+	19	534	19180	5032855	9.33637225496284	2.0762578500399103e-05
NC_000913.3	4180118	4180399	+	NC_000913.3	4178925	4179377	+	62	1778	3067	5047681	57.390242220700564	3.458357492455018e-77
NC_000913.3	4181509	4181989	+	NC_000913.3	1977166	1977257	-	42	1417	17280	5033849	8.634473996314593	1.3482320676432901e-17
NC_000913.3	4245713	4245762	-	NC_000913.3	77409	77594	+	23	579	7928	5044058	25.273518227083475	5.2579422098645797e-17
NC_000913.3	4287279	4287299	+	NC_000913.3	4106369	4106387	+	19	27	56732	4995810	61.968025100472396	1.6733755043905397e-18
NC_000913.3	4287343	4287391	-	NC_000913.3	2942720	2942893	+	26	15	398299	4654248	20.25454043319215	7.135532644680355e-12
NC_000913.3	4288638	4289074	+	NC_000913.3	1141011	1141064	+	51	258	147765	4904514	6.5610730111215245	4.638147988048544e-16
NC_000913.3	4296920	4296986	-	NC_000913.3	2001912	2001929	-	19	24	44067	5008478	89.9776495639216	8.717983214044219e-21
NC_000913.3	4368409	4368432	-	NC_000913.3	1279416	1279520	+	24	889	19250	5032425	7.057584035761764	8.215204836537179e-06
NC_000913.3	4394073	4394092	-	NC_000913.3	765133	765150	+	19	167	48646	5003756	11.70270124553754	7.882840185770547e-07
NC_000913.3	4398871	4398976	+	NC_000913.3	3350678	3350697	+	25	64	291991	4760508	6.368598475637948	0.0004333449993794525
NC_000913.3	4428802	4428821	-	NC_000913.3	4056427	4056567	-	33	37	20529	5031989	218.61708749521114	1.959153665398623e-52
NC_000913.3	4595502	4595600	-	NC_000913.3	3350680	3350697	+	19	16	291997	4760556	19.360336750035103	8.766187513269976e-08
NC_000913.3	4606101	4606363	-	NC_000913.3	686681	686689	-	32	700	61982	4989874	3.6802382258443695	0.026203602446808315
NC_000913.3	4631734	4631900	+	NC_000913.3	2167164	2167200	+	26	42	456339	4596181	6.2349588896892545	0.0012232563680793906
NC_000913.3	37313	37452	-	NC_000913.3	1409199	1409249	+	24	8	114029	4938527	129.92818493541117	4.803350406665948e-26
NC_000913.3	51827	52087	-	NC_000913.3	2167149	2167200	+	39	111	456326	4596112	3.5388081375204616	0.02003768170916209
NC_000913.3	105110	105454	+	NC_000913.3	106321	106792	+	48	3092	370	5049078	211.84201950980736	3.8446763320260913e-84
NC_000913.3	131518	131862	+	NC_000913.3	4049923	4050007	+	41	1895	27453	5023199	3.958815080165314	1.2384922101627048e-05
NC_000913.3	223628	223691	+	NC_000913.3	2729409	2729553	-	24	2299	418	5049847	126.11716764726083	2.7642931325503472e-34
NC_000913.3	275104	275150	-	NC_000913.3	576726	576829	-	33	663	1052	5050840	238.9726958346954	9.7198750753748e-59
NC_000913.3	401363	401484	+	NC_000913.3	2313150	2313177	+	22	533	19177	5032856	10.832515224763561	1.996750527486918e-08
NC_000913.3	440570	440667	-	NC_000913.3	2976102	2976109	-	20	229	19704	5032635	22.306711380838152	8.011297633706041e-13
NC_000913.3	441105	441176	-	NC_000913.3	4218904	4218963	+	18	206	27001	5025363	16.262708357079905	1.2441385706479042e-08
NC_000913.3	452106	452175	-	NC_000913.3	2167192	2167200	+	18	13	456347	4596210	13.945491209371546	0.00018406026072416922
NC_000913.3	456150	456287	+	NC_000913.3	1409205	1409250	+	32	295	103306	4948955	5.19655970234226	9.97544963441717e-06
NC_000913.3	461283	461400	+	NC_000913.3	2177046	2177350	-	26	5813	4464	5042285	5.0521499056311185	0.0010947024254960623
NC_000913.3	461351	461400	+	NC_000913.3	8425	8600	+	29	5789	469	5046301	53.90074367201085	4.820993121620826e-32
NC_000913.3	507203	507256	+	NC_000913.3	2755715	2756035	+	36	92244	364	4959944	5.31789506187841	1.728362745319581e-07
NC_000913.3	607790	607793	-	NC_000913.3	3986491	3986638	+	24	285	50810	5001469	8.289241032121733	4.806107558302043e-07
NC_000913.3	684420	684609	-	NC_000913.3	686638	686719	-	26	197	83716	4968649	7.833159512230497	2.359961942862146e-07
NC_000913.3	762509	762994	+	NC_000913.3	763603	764093	+	83	3987	2011	5046507	52.24090190184235	1.8245897108981613e-101
NC_000913.3	864302	864360	+	NC_000913.3	2167180	2167200	+	18	13	456347	4596210	13.945491209371546	0.00018406026072416922
NC_000913.3	882261	882638	-	NC_000913.3	1140884	1141063	+	33	150	153115	4899290	7.039439636874245	3.878619917032115e-09
NC_000913.3	902922	902963	-	NC_000913.3	765046	765149	+	20	106	55815	4996647	16.890864192522805	3.6337445891136783e-10
NC_000913.3	916612	917097	+	NC_000913.3	2167173	2167200	+	57	152	456308	4596071	3.777112443787968	1.289938385564344e-07
NC_000913.3	940009	940100	+	NC_000913.3	2814828	2814879	+	18	374	33662	5018534	7.175263559061663	0.005673901436996662
NC_000913.3	1008316	1008458	+	NC_000913.3	2167159	2167200	+	32	27	456333	4596196	11.93721121945467	2.7995160812711522e-11
NC_000913.3	1017828	1018200	-	NC_000913.3	1405658	1405698	-	33	511	83406	4968638	3.8470966976287873	0.005936293696793232
NC_000913.3	1020076	1020185	-	NC_000913.3	2637415	2637438	-	28	25966	67	5026527	80.89956671238278	9.672973641212543e-34
NC_000913.3	1067374	1067696	-	NC_000913.3	1405657	1405698	-	40	257	83399	4968892	9.273113642480853	9.0133713630326e-17
NC_000913.3	1105520	1105594	+	NC_000913.3	1141036	1141063	+	18	78	147798	4904694	7.658104044293303	0.006744305796223331
NC_000913.3	1131018	1131500	+	NC_000913.3	1132305	1132800	+	107	3821	1925	5046735	73.41528803570154	8.265047632509416e-147
NC_000913.3	1140405	1140894	+	NC_000913.3	2003123	2003600	-	140	11693	32535	5008220	1.843039627435938	0.0007128338768375933
NC_000913.3	1140986	1140993	+	NC_000913.3	1989024	1989104	-	22	20353	139	5032074	39.13149741593253	1.5206445527151213e-19
NC_000913.3	1150701	1150898	+	NC_000913.3	2976102	2976355	-	46	1719	31070	5019753	4.323376421310659	2.5671092751278458e-08
NC_000913.3	1151606	1152054	+	NC_000913.3	1150409	1150752	+	57	7511	1279	5043741	29.926734196152655	2.4289369594968233e-54
NC_000913.3	1197612	1197856	-	NC_000913.3	1141042	1141064	+	26	54	147790	4904718	15.978962642187488	3.8675355099097446e-13
NC_000913.3	1279008	1279292	+	NC_000913.3	4027234	4027253	-	34	7219	4880	5040455	4.864652192869908	4.057289826481653e-06
NC_000913.3	1334051	1334190	+	NC_000913.3	1141034	1141064	+	32	186	147784	4904586	5.709682658037973	1.6629612671081542e-06
NC_000913.3	1344605	1344640	-	NC_000913.3	2001912	2002071	-	20	67	49591	5002910	30.11445565020374	1.5588145750199876e-14
NC_000913.3	1368822	1368864	+	NC_000913.3	1770456	1770477	+	18	34	10156	5042380	262.84908370595184	2.0776393168240586e-28
NC_000913.3	1405707	1405751	-	NC_000913.3	1258921	1259072	+	24	34969	249	5017346	13.829380721720133	8.343551275858002e-12
NC_000913.3	1405712	1405752	-	NC_000913.3	672529	672798	-	27	34966	65	5017530	59.606611257529295	7.785224054011447e-29
NC_000913.3	1409128	1409187	+	NC_000913.3	3719932	3719996	+	18	36129	170	5016271	14.701059438971138	7.820739566726832e-08
NC_000913.3	1409128	1409200	+	NC_000913.3	401388	401474	+	22	36125	164	5016277	18.627410583171574	7.531016027536731e-13
NC_000913.3	1409128	1409210	+	NC_000913.3	1907424	1907500	-	20	43686	328	5008554	6.990789592691971	0.0010447169524350544
NC_000913.3	1610721	1610725	-	NC_000913.3	1409164	1409249	+	19	23	114034	4938512	35.77564891020298	2.5225610557354493e-13
NC_000913.3	1622855	1622900	-	NC_000913.3	455020	455480	+	42	14666	867	5037013	16.637634677008755	2.1908512722682333e-28
NC_000913.3	1622855	1622915	-	NC_000913.3	2560219	2560272	-	33	32978	126	5019451	39.86348835731758	8.937694624089126e-32
NC_000913.3	1768201	1768288	-	NC_000913.3	4106352	4106387	+	18	59	56733	4995778	26.865063737453497	1.2513213258136808e-11
NC_000913.3	1800012	1800333	-	NC_000913.3	452571	452668	-	38	4224	227	5048099	200.0606582065145	2.7817432782515766e-64
NC_000913.3	1863935	1864082	+	NC_000913.3	2942745	2942900	+	30	53	398295	4654210	6.6143398500258295	7.436352347586358e-06
NC_000913.3	1881222	1881654	-	NC_000913.3	4106359	4106387	+	30	295	56721	4995542	8.956492663016926	4.97864546067973e-11
NC_000913.3	1908082	1908091	-	NC_000913.3	1622818	1622843	-	18	11	193220	4859339	41.153325930874836	1.2572561474135701e-11
NC_000913.3	1908147	1908392	+	NC_000913.3	1405657	1405706	-	50	57	86088	4966393	50.60502146314583	2.5667692407176027e-51
NC_000913.3	1922084	1922099	+	NC_000913.3	1622818	1622883	-	18	38	193220	4859312	11.912738683475068	2.8564907331553504e-05
NC_000913.3	1943509	1943891	+	NC_000913.3	2167140	2167200	+	37	78	456328	4596145	4.777753344535352	6.014537961832792e-05
NC_000913.3	1953342	1953399	+	NC_000913.3	2167164	2167200	+	18	2	456347	4596221	90.64590980109435	4.5268808883498113e-10
NC_000913.3	2000918	2001259	-	NC_000913.3	77540	77594	+	30	4398	6748	5041412	5.096161077689837	3.213718327950128e-05
NC_000913.3	2003207	2003291	-	NC_000913.3	2015213	2015279	+	18	15183	528	5036859	11.309431750821792	3.5022983696545725e-06
NC_000913.3	2007420	2007462	+	NC_000913.3	4106367	4106387	+	18	118	56733	4995719	13.432373230896912	4.976227630655193e-07
NC_000913.3	2015811	2015965	+	NC_000913.3	765083	765149	+	38	658	55797	4996095	5.171035766703802	4.617118820642217e-08
NC_000913.3	2021721	2022195	+	NC_000913.3	3845731	3845779	-	37	781	36038	5015732	6.593626346467831	5.5491336052344224e-11
NC_000913.3	2025302	2025313	-	NC_000913.3	1972301	1972381	-	18	1692	852	5050026	63.05596344021576	4.497089600420637e-19
NC_000913.3	2103301	2103456	-	NC_000913.3	4056427	4056591	-	29	294	20533	5031732	24.172176794547752	4.724057657694798e-22
NC_000913.3	2167112	2167161	+	NC_000913.3	105301	105777	+	50	45607	976	5005955	5.623097610123842	6.680486119432057e-14
NC_000913.3	2167113	2167165	+	NC_000913.3	4400653	4400910	+	38	45619	896	5006035	4.653971373534836	7.406230315412451e-07
NC_000913.3	2173502	2173990	-	NC_000913.3	4106302	4106388	+	68	1866	56683	4993971	3.210631495869764	1.0542853454397533e-08
NC_000913.3	2219653	2219661	-	NC_000913.3	3350665	3350697	+	18	6	291998	4760566	48.910259659312736	8.845422687771964e-11
NC_000913.3	2236413	2236621	+	NC_000913.3	2167140	2167200	+	39	54	456326	4596169	7.274306940408587	5.734268830351847e-10
NC_000913.3	2270508	2270853	+	NC_000913.3	4218895	4218964	+	27	372	28275	5023914	12.896159835714897	2.370163040755209e-13
NC_000913.3	2282605	2282697	+	NC_000913.3	2001912	2002075	-	22	367	49589	5002610	6.0473891024548765	0.0017428507232847268
NC_000913.3	2299205	2299498	-	NC_000913.3	1622818	1622880	-	37	187	193201	4859163	4.976364865860932	1.2235322610244346e-06
NC_000913.3	2302110	2302400	-	NC_000913.3	1405658	1405710	-	37	526	86101	4965924	4.057026580729334	0.0001305164337599079
NC_000913.3	2312302	2312398	-	NC_000913.3	1923104	1923112	-	18	4908	2733	5044929	6.7699175252751616	0.003571756705593647
NC_000913.3	2350501	2350877	-	NC_000913.3	2351619	2351899	-	55	2500	3099	5046934	35.82850855114553	4.271484065777221e-57
NC_000913.3	2351801	2352297	-	NC_000913.3	2349926	2350399	-	151	15282	2105	5035050	23.634609950507652	1.3085609981825309e-137
NC_000913.3	2400206	2400297	-	NC_000913.3	3580922	3580972	-	18	239	1533	5050798	248.13752671355698	1.7916578328478804e-29
NC_000913.3	2469513	2469695	+	NC_000913.3	2976102	2976442	-	35	162	31086	5021305	34.898341558225965	2.2412132255490533e-32
NC_000913.3	2508809	2509179	-	NC_000913.3	764838	765149	+	42	268	57762	4994516	13.550823321845122	4.153379623800079e-24
NC_000913.3	2535516	2535690	+	NC_000913.3	4106355	4106387	+	36	473	56715	4995364	6.7036381417491375	1.3546842429678224e-10
NC_000913.3	2599777	2599798	-	NC_000913.3	4114520	4114527	-	18	126	6322	5046122	114.02634790075473	3.2531738184248986e-23
NC_000913.3	2599778	2600010	-	NC_000913.3	4106315	4106387	+	19	130	56732	4995707	12.870016786076505	1.943434360243402e-07
NC_000913.3	2656907	2657081	-	NC_000913.3	1622818	1622879	-	36	194	193202	4859156	4.667131041844245	1.7110203144855237e-05
NC_000913.3	2737123	2737285	+	NC_000913.3	2716411	2716481	-	25	11480	1469	5039614	7.470911615904061	7.277750622365725e-07
NC_000913.3	2747934	2748289	+	NC_000913.3	1405656	1405702	-	38	79	86100	4966371	27.745497287522603	2.5427626641500536e-30
NC_000913.3	2814801	2814837	+	NC_000913.3	1995001	1995372	-	29	13980	235	5038344	44.47446991142361	2.484534445842644e-29
NC_000913.3	2867619	2868032	-	NC_000913.3	3657984	3658006	-	30	53995	64	4998499	43.39376620520419	2.1872883947542587e-28
NC_000913.3	2872815	2873008	-	NC_000913.3	4106368	4106387	+	23	221	56728	4995616	9.16488749042027	2.545465350085462e-07
NC_000913.3	2942695	2942775	+	NC_000913.3	3176904	3176936	-	32	142262	117	4910177	9.440007824734597	6.251894031592786e-12
NC_000913.3	2942696	2942861	+	NC_000913.3	1647966	1648290	+	65	223554	149	4828820	9.422923386587136	1.5577513040833971e-28
NC_000913.3	2942703	2942798	+	NC_000913.3	2533713	2533782	+	18	76724	80	4975766	14.591879333715656	2.1265351802484858e-07
NC_000913.3	2942703	2942860	+	NC_000913.3	147649	147790	+	50	158017	179	4894342	8.651819974252824	3.9156132716977645e-20
NC_000913.3	2942696	2942798	+	NC_000913.3	1137414	1137694	+	41	142253	386	4909908	3.6661351633259125	0.00031003335215197515
NC_000913.3	2942695	2942854	+	NC_000913.3	2968702	2968892	-	83	223536	590	4828379	3.038644948858956	1.1253789441206547e-09
NC_000913.3	2943322	2943355	+	NC_000913.3	1141041	1141064	+	18	21	147798	4904751	28.44471701724168	1.414572361251286e-10
NC_000913.3	2976271	2976386	-	NC_000913.3	2460601	2460953	-	52	9738	977	5041821	27.556650780647434	3.136643263797026e-47
NC_000913.3	3035826	3036280	-	NC_000913.3	2001912	2002165	-	56	617	53945	4997970	8.409018549867632	3.372463880507366e-24
NC_000913.3	3049554	3049945	-	NC_000913.3	3580922	3580977	-	25	12666	1526	5038371	6.516826142536163	1.365012492647281e-05
NC_000913.3	3104030	3104189	+	NC_000913.3	4049963	4050007	+	36	618	27458	5024476	10.659477104308293	4.6728060355478536e-17
NC_000913.3	3218317	3218592	-	NC_000913.3	1409210	1409250	+	31	278	103307	4948972	5.341978609122924	1.178096374895877e-05
NC_000913.3	3245003	3245129	+	NC_000913.3	4597064	4597074	+	20	582	1387	5050599	125.13345572659229	1.2255758201502158e-27
NC_000913.3	3328532	3328849	-	NC_000913.3	2814833	2814878	+	34	158	33646	5018750	32.098441931141586	4.182672600854985e-30
NC_000913.3	3336359	3336497	-	NC_000913.3	1622817	1622871	-	32	169	193206	4859181	4.762179277390224	6.318227557969427e-05
NC_000913.3	3346902	3347288	+	NC_000913.3	3845731	3845749	-	28	343	36047	5016170	11.35970442217445	1.3356053994758532e-12
NC_000913.3	3348281	3348293	-	NC_000913.3	4106376	4106387	+	18	165	56733	4995672	9.606091692665645	8.624789226305892e-05
NC_000913.3	3350305	3350617	-	NC_000913.3	1405658	1405710	-	37	536	86101	4965914	3.9813277690015907	0.00021669587955018966
